feedback_id,visitor_id,event_id,institution_id,rating,text,sentiment,data_source
FB_00001,VIS_01242,EV_0145,INST_012,3,"Мероприятие было интересным, но некоторые части можно улучшить.",neutral,synthetic
FB_00002,VIS_02694,EV_0122,INST_010,4,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00003,VIS_04925,EV_0024,INST_001,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00004,VIS_00090,EV_0176,INST_014,5,Интересная программа и хороший формат.,positive,synthetic
FB_00005,VIS_00224,EV_0043,INST_004,3,Некоторые части программы понравились больше других.,neutral,synthetic
FB_00006,VIS_00083,EV_0211,INST_017,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00007,VIS_02297,EV_0207,INST_017,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00008,VIS_02157,EV_0141,INST_012,3,"Мероприятие было интересным, но некоторые части можно улучшить.",neutral,synthetic
FB_00009,VIS_03424,EV_0046,INST_004,2,Организацию можно было сделать лучше.,negative,synthetic
FB_00010,VIS_01629,EV_0174,INST_014,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00011,VIS_03649,EV_0102,INST_007,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00012,VIS_01917,EV_0188,INST_017,4,Интересная программа и хороший формат.,positive,synthetic
FB_00013,VIS_01076,EV_0140,INST_012,4,Интересная программа и хороший формат.,positive,synthetic
FB_00014,VIS_04685,EV_0209,INST_017,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00015,VIS_02062,EV_0133,INST_011,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00016,VIS_03175,EV_0153,INST_014,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00017,VIS_02993,EV_0146,INST_012,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00018,VIS_04902,EV_0095,INST_007,4,Интересная программа и хороший формат.,positive,synthetic
FB_00019,VIS_03556,EV_0209,INST_017,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00020,VIS_04227,EV_0104,INST_007,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00021,VIS_00973,EV_0140,INST_012,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00022,VIS_00637,EV_0218,INST_018,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00023,VIS_00894,EV_0013,INST_001,3,"Мероприятие было интересным, но некоторые части можно улучшить.",neutral,synthetic
FB_00024,VIS_02520,EV_0035,INST_002,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00025,VIS_01543,EV_0125,INST_011,5,Интересная программа и хороший формат.,positive,synthetic
FB_00026,VIS_01734,EV_0212,INST_017,3,Некоторые части программы понравились больше других.,neutral,synthetic
FB_00027,VIS_04241,EV_0207,INST_017,3,Некоторые части программы понравились больше других.,neutral,synthetic
FB_00028,VIS_03577,EV_0102,INST_007,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00029,VIS_00103,EV_0014,INST_001,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00030,VIS_00156,EV_0166,INST_014,4,Интересная программа и хороший формат.,positive,synthetic
FB_00031,VIS_00084,EV_0192,INST_017,4,Интересная программа и хороший формат.,positive,synthetic
FB_00032,VIS_00238,EV_0224,INST_019,4,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00033,VIS_04188,EV_0111,INST_009,2,Не хватило интерактивности и вовлечения.,negative,synthetic
FB_00034,VIS_01463,EV_0048,INST_004,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00035,VIS_03516,EV_0193,INST_017,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00036,VIS_02329,EV_0030,INST_002,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00037,VIS_02117,EV_0133,INST_011,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00038,VIS_01147,EV_0124,INST_011,4,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00039,VIS_03741,EV_0158,INST_014,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00040,VIS_03174,EV_0081,INST_007,2,Мероприятие показалось слишком длинным.,negative,synthetic
FB_00041,VIS_01763,EV_0067,INST_006,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00042,VIS_00545,EV_0211,INST_017,4,Интересная программа и хороший формат.,positive,synthetic
FB_00043,VIS_02482,EV_0002,INST_001,4,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00044,VIS_03672,EV_0141,INST_012,3,"Мероприятие было интересным, но некоторые части можно улучшить.",neutral,synthetic
FB_00045,VIS_00408,EV_0195,INST_017,4,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00046,VIS_03672,EV_0096,INST_007,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00047,VIS_04298,EV_0022,INST_001,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00048,VIS_03262,EV_0103,INST_007,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00049,VIS_00127,EV_0205,INST_017,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00050,VIS_00748,EV_0040,INST_003,5,Интересная программа и хороший формат.,positive,synthetic
FB_00051,VIS_04785,EV_0118,INST_010,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00052,VIS_00722,EV_0067,INST_006,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00053,VIS_02668,EV_0218,INST_018,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00054,VIS_04975,EV_0035,INST_002,4,Интересная программа и хороший формат.,positive,synthetic
FB_00055,VIS_01502,EV_0183,INST_015,3,Некоторые части программы понравились больше других.,neutral,synthetic
FB_00056,VIS_03605,EV_0013,INST_001,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00057,VIS_00717,EV_0019,INST_001,5,Интересная программа и хороший формат.,positive,synthetic
FB_00058,VIS_03842,EV_0070,INST_006,4,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00059,VIS_00177,EV_0118,INST_010,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00060,VIS_04844,EV_0222,INST_018,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00061,VIS_02100,EV_0119,INST_010,4,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00062,VIS_02944,EV_0093,INST_007,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00063,VIS_00638,EV_0083,INST_007,3,Некоторые части программы понравились больше других.,neutral,synthetic
FB_00064,VIS_03518,EV_0058,INST_006,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00065,VIS_04554,EV_0078,INST_006,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00066,VIS_02528,EV_0161,INST_014,2,Не хватило интерактивности и вовлечения.,negative,synthetic
FB_00067,VIS_01112,EV_0149,INST_012,1,Не хватило интерактивности и вовлечения.,negative,synthetic
FB_00068,VIS_01740,EV_0055,INST_005,1,Не хватило интерактивности и вовлечения.,negative,synthetic
FB_00069,VIS_04592,EV_0007,INST_001,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00070,VIS_04365,EV_0185,INST_016,2,Не хватило интерактивности и вовлечения.,negative,synthetic
FB_00071,VIS_03574,EV_0207,INST_017,2,Организацию можно было сделать лучше.,negative,synthetic
FB_00072,VIS_01242,EV_0163,INST_014,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00073,VIS_00506,EV_0165,INST_014,4,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00074,VIS_03065,EV_0170,INST_014,3,"Мероприятие было интересным, но некоторые части можно улучшить.",neutral,synthetic
FB_00075,VIS_02349,EV_0195,INST_017,5,Интересная программа и хороший формат.,positive,synthetic
FB_00076,VIS_04299,EV_0182,INST_015,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00077,VIS_02632,EV_0152,INST_014,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00078,VIS_02566,EV_0123,INST_010,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00079,VIS_02190,EV_0168,INST_014,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00080,VIS_04096,EV_0148,INST_012,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00081,VIS_01282,EV_0034,INST_002,4,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00082,VIS_04698,EV_0081,INST_007,4,Интересная программа и хороший формат.,positive,synthetic
FB_00083,VIS_04852,EV_0195,INST_017,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00084,VIS_03277,EV_0047,INST_004,3,Некоторые части программы понравились больше других.,neutral,synthetic
FB_00085,VIS_02374,EV_0132,INST_011,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00086,VIS_04847,EV_0080,INST_007,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00087,VIS_01485,EV_0123,INST_010,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00088,VIS_01654,EV_0101,INST_007,5,Интересная программа и хороший формат.,positive,synthetic
FB_00089,VIS_00360,EV_0162,INST_014,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00090,VIS_01297,EV_0212,INST_017,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00091,VIS_00285,EV_0108,INST_009,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00092,VIS_03751,EV_0207,INST_017,5,Интересная программа и хороший формат.,positive,synthetic
FB_00093,VIS_03205,EV_0209,INST_017,4,Интересная программа и хороший формат.,positive,synthetic
FB_00094,VIS_01548,EV_0080,INST_007,4,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00095,VIS_01262,EV_0203,INST_017,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00096,VIS_01888,EV_0142,INST_012,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00097,VIS_04334,EV_0138,INST_012,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00098,VIS_04164,EV_0219,INST_018,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00099,VIS_04491,EV_0033,INST_002,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00100,VIS_01506,EV_0034,INST_002,1,Мероприятие показалось слишком длинным.,negative,synthetic
FB_00101,VIS_03838,EV_0055,INST_005,4,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00102,VIS_04216,EV_0209,INST_017,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00103,VIS_01944,EV_0073,INST_006,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00104,VIS_00579,EV_0125,INST_011,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00105,VIS_04470,EV_0219,INST_018,3,"Мероприятие было интересным, но некоторые части можно улучшить.",neutral,synthetic
FB_00106,VIS_04946,EV_0091,INST_007,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00107,VIS_04519,EV_0100,INST_007,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00108,VIS_00387,EV_0121,INST_010,4,Интересная программа и хороший формат.,positive,synthetic
FB_00109,VIS_03878,EV_0018,INST_001,2,Мероприятие показалось слишком длинным.,negative,synthetic
FB_00110,VIS_01424,EV_0088,INST_007,3,"В целом всё хорошо, но хотелось бы больше интерактива.",neutral,synthetic
FB_00111,VIS_02191,EV_0191,INST_017,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00112,VIS_04751,EV_0166,INST_014,5,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00113,VIS_02051,EV_0176,INST_014,1,Мероприятие показалось слишком длинным.,negative,synthetic
FB_00114,VIS_01300,EV_0215,INST_018,4,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00115,VIS_01103,EV_0169,INST_014,5,Интересная программа и хороший формат.,positive,synthetic
FB_00116,VIS_02403,EV_0088,INST_007,5,Интересная программа и хороший формат.,positive,synthetic
FB_00117,VIS_00901,EV_0014,INST_001,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
FB_00118,VIS_00791,EV_0131,INST_011,5,"Спасибо организаторам, всё прошло замечательно.",positive,synthetic
FB_00119,VIS_02298,EV_0043,INST_004,4,Отличная организация и приятная атмосфера.,positive,synthetic
FB_00120,VIS_00569,EV_0166,INST_014,5,"Очень понравилось мероприятие, хочется прийти ещё.",positive,synthetic
